Алиса	Вес	Внешний вид	Габаритные размеры (В*Ш*Г)	Габаритные размеры (В*Ш*Д)	Гарантия	Гарантия предоставляется	Диапазон температур	Длина сетевого шнура	Заваривание чая	Залив воды без открытия крышки	Звуковой сигнал при закипании	Индикация	Количество режимов нагрева	Количество стенок	Максимальный объем	Маруся	Материал корпуса	Объем	Отключение при закипании	Отключение при отсутствии воды	Отключение при снятии	Отложенный старт	Отсек для сетевого шнура	Подключение	Подсветка корпуса	Потребляемая мощность	Работает в системе Умный дом	Регулировка температуры	Салют	Сенсорное управление	Смартфон в качестве пульта ДУ	Состояние	Сохранение тепла	Способ открытия крышки	Срок службы	Страна	Технология снижения уровня шума	Тип нагревательного элемента	Фильтр от накипи	Функция	Цвет	Цвет подсветки корпуса	Цифровой дисплей	Экосистема
	0.85	новый			1 год	производителем	100 *С					включения	1	1	1.8		нержавеющая сталь		Да	Да			Да			1800						новый		нажатие		Китай		диск			черный/ серебристый	отсутствует		отсутствует
	1.7	новый	29*21.5*21.5 см		2 года	производителем	40-100 *С	0.8				включения, уровня воды	1	2	1.7		нержавеющая сталь/ стекло		Да	Да	Да		Да			3000						новый		кнопка на корпусе		Китай		ТЭН	Да		нержавеющая сталь/ прозрачный			
	1		24.5*22*16 см		1 год	производителем	100-100 *С	0.7				включения	1	1	2		металл/ пластик/ стекло		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		скрытый нагревательный элемент			черный			отсутствует
	1		21*22*21 см		1 год	производителем	100 *С	0.7			Да	включения, уровня воды	1	2	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200		Да		Да			Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	серо-коричневый	синий	Да	отсутствует
	0.8		17.5*22.2*21 см		2 года	производителем	15-100 *С	0.9		Да		включения	1	1	1.7		пластик		Да	Да	Да		Да			2200								кнопка на корпусе		Китай		ТЭН	Да		черный	отсутствует		отсутствует
	0.7	новый	25*19.5*16.5 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1	1	1.5		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		ТЭН	Да		серебристый/ черный	отсутствует		отсутствует
	0.93		23*17*21 см		1 год	производителем	1-100 *С	1.5				включения			2		нержавеющая сталь		Да							1500										Китай		ТЭН			серый			
	1.2	новый	16*22*22 см		2 года	производителем	100 *С	0.75				включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		ТЭН	Да		серебристый/ черный	синий		отсутствует
	0.75	новый	23*22.8*15 см		1 год	производителем	100 *С	0.6				включения	1	1	1.8		нержавеющая сталь		Да	Да	Да		Да			1800						новый		нажатие		Китай		диск			нержавеющая сталь/ черный	отсутствует		отсутствует
	0.8		23.5*23*15.8 см		1 год	производителем	100-100 *С	0.65				включения, уровня воды	1	1	1.7		пластик		Да				Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		черный/ серебристый	отсутствует		отсутствует
	0.8		21*17.5*15.5 см		2 года	производителем	100-100 *С	0.9				включения, уровня воды	1	1	1		пластик/ стекло		Да	Да	Да		Да		Да	1100							Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	черный	голубой		отсутствует
	1.19		24*15.5*21 см		1 год	производителем	40-100 *С	0.7					1		1.5		стекло/ пластик		Да	Да	Да					2200		Да				новый		кнопка на корпусе		Китай		диск	Да		черный			отсутствует
	0.875	новый	24*21*15 см		1 год	производителем	100 *С	0.75				включения, уровня воды	1		1.7		пластик		Да	Да	Да		Да			1850						новый		нажатие		Китай		закрытая спираль	Да		белый	отсутствует		отсутствует
	1.2		21*22*18 см		2 года	производителем	10-100 *С	0.7				включения, уровня воды, температуры	4	1	1.7		нержавеющая сталь		Да	Да	Да				Да	2200		Да		Да		новый		нажатие		Китай		диск	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	0.87	новый	23*16.7*20.4 см		6 месяцев	производителем	10-100 *С	0.6				включения	1	2	1.8		нержавеющая сталь		Да	Да	Да		Да			1500						новый		нажатие		Китай		ТЭН	Да		черный/ красный	отсутствует		отсутствует
	1.15		25.5*23.5*23.5 см		2 года	производителем	100-100 *С	0.6				включения, уровня воды	1	2	1.7		металл		Да	Да	Да		Да			2000						новый		полностью съемная		Китай		диск			голубой	отсутствует		отсутствует
	1.2		25*16*21 см		1 год	производителем	40-100 *С	0.7					1		1.7		стекло/ пластик		Да	Да	Да					2200		Да				новый		кнопка на корпусе		Китай		диск	Да		белый			отсутствует
	1.74		21*24*16 см		1 год	производителем	20-100 *С	0.6				включения, уровня воды	1	1	1		керамика		Да	Да	Да		Да			1200								полностью съемная		Китай		ТЭН			зеленый			отсутствует
	1.4	новый	24.9*22.4*17.5 см		1 год	производителем	100-100 *С	0.8				уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		закрытая спираль	Да		белый	отсутствует		отсутствует
	1.3		21*16.5*23.5 см		1 год	производителем	50-100 *С	1				включения, температуры	1	1	1.7		пластик		Да	Да	Да		Да			2200				Да				кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1.3	новый	18*22*25 см		1 год	производителем	100 *С	0.8				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да					2200						новый		полностью съемная		Китай		ТЭН			белый/ коричневый	отсутствует		отсутствует
	1.2	новый			1 год	производителем	100 *С					включения, уровня воды	1	1	1.7		пластик/ стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		белый	синий		отсутствует
	1.3	новый	27.5*15*21.6 см		1 год	производителем	100 *С	0.8		Да		включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2400						новый	Да	нажатие		Китай		закрытая спираль	Да		красный			отсутствует
	1.1	новый	25.2*23*15.9 см		1 год	производителем	100-100 *С	0.7				включения	1		1.5		пластик/ металл		Да	Да	Да		Да			2200						новый	Да	кнопка на корпусе		Китай		ТЭН		поддержание температуры	черный	отсутствует		отсутствует
	1.4	новый	22.5*20 см		2 года	производителем	100 *С	1				включения, уровня воды	1	1	1		нержавеющая сталь/ стекло		Да	Да	Да		Да		Да	1900						новый		нажатие		Китай		ТЭН	Да		нержавеющая сталь	синий		отсутствует
	0.76		23*22.6*15.3 см		1 год	производителем	20-100 *С	0.8			Да	включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		слоновая кость	отсутствует		отсутствует
	1.59		21*23*18 см		2 года	производителем	10-100 *С	0.7				включения, уровня воды, температуры	1	1	1.5		термостойкое стекло		Да	Да	Да				Да	1500		Да		Да		новый		нажатие		Китай		диск	Да		белый	отсутствует	Да	отсутствует
	1.05		27.6*23.2*15 см		2 года	производителем	20-100 *С	0.8			Да	включения, уровня воды	1	1	1.7		ABS-пластик		Да	Да	Да					2400								кнопка на корпусе		Китай		закрытая спираль	Да		красный			отсутствует
	1.4	новый	23.5*21.5*15.5 см		1 год	производителем	10-100 *С					включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да					2200						новый		кнопка на корпусе		Китай		диск	Да		нержавеющая сталь	отсутствует		отсутствует
	1.26		22*26*15.4 см		1 год	производителем	100 *С	0.75				включения, уровня воды, температуры	1		1.7		сталь		Да	Да	Да		Да			2200										Китай	Да	ТЭН	Да	снижения уровня шума	голубой			отсутствует
	1.13		24.5*22.86*15.1 см		2 года	производителем	40-100 *С	0.7			Да	включения, уровня воды, температуры	5	1	1.7		стекло/ пластик/ металл		Да		Да		Да			2200		Да				новый		ручное		Китай		закрытая спираль	Да		черный/ нержавеющая сталь	разноцветный		отсутствует
	1		26.7*19.1*20.4 см		1 год	производителем	100-100 *С	0.85				включения, уровня воды	1	2	1.5		пластик		Да	Да	Да		Да			2200								кнопка на корпусе		Китай		ТЭН	Да		черный	отсутствует		отсутствует
	1.2		24.8*21.5*16.3 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		серый/ черный/ серебристый	отсутствует		отсутствует
	1.1		22*21*15.5 см		1 год	производителем	1-100 *С	0.8				включения, уровня воды	1	1	1.8		сталь/ пластик/ стекло		Да	Да			Да		Да	1800						новый		кнопка на корпусе		Китай		диск	Да		черный/ стальной			отсутствует
	0.9		22.5*16*22.3 см		1 год	производителем	100-100 *С	0.7				включения, уровня воды	1	1	1.7		металл		Да	Да	Да		Да		Да	2200								нажатие		Китай		диск	Да		серебристый	синий		отсутствует
	1.22	новый	22.8*20.7*17 см		2 года	производителем	40-100 *С	0.75	Да		Да	включения	7		0.6		нержавеющая сталь		Да	Да	Да					1200		Да		Да		новый	Да	полностью съемная		Китай		закрытая спираль	Да	заваривание чая, поддержание температуры	серый	отсутствует	Да	
	1		26*17.5*21.5 см		2 года	производителем	40-100 *С	1		Да	Да	включения, уровня воды, температуры	5	2	1.7		пластик/ нержавеющая сталь		Да	Да	Да		Да		Да	1700		Да		Да			Да	кнопка на корпусе		Китай		ТЭН	Да	поддержание температуры	черный		Да	отсутствует
	1.18		24.5*15.3*22.2 см		1 год	производителем	5-100 *С	0.82			Да	включения, уровня воды, температуры	1	2	1.7		пластик/ стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		ТЭН	Да		черный	синий		отсутствует
	1.5		24*15.5*22 см		1 год	производителем	70-100 *С	0.7				включения, температуры	5	2	1.7		металл/ пластик		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	черный	отсутствует	Да	отсутствует
	1		22.3*21.5*15.5 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	2	1.7		нержавеющая сталь		Да	Да			Да			2100						новый		кнопка на корпусе		Китай		диск	Да		розовый/ серебристый/ черный	отсутствует		отсутствует
	1.1	новый	14.5*19.2*20.5 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	2	0.6		пластик		Да	Да	Да		Да			1000						новый		полностью съемная		Китай		скрытый нагревательный элемент	Да		жемчужный			
	1.1		23*22*15 см		1 год	производителем	100-100 *С	0.8				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да			Да			2200						новый		нажатие		Китай		диск	Да		нержавеющая сталь	отсутствует		отсутствует
	1		24*20*18 см		1 год	производителем	100-100 *С	0.6			Да	включения, уровня воды	1	1	1.8		металл		Да	Да	Да		Да			2200								кнопка на корпусе		Китай		ТЭН	Да		стальной	отсутствует		отсутствует
	0.908		22.5*15.6*20 см		1 год	производителем	100-100 *С	0.75		Да		включения, уровня воды, температуры	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		слоновая кость	отсутствует		отсутствует
	1.28	новый	15.7*20.4*27.5 см		3 года	производителем	40-100 *С	0.75				включения, уровня воды, температуры	5	1	1.5		пластик		Да	Да	Да		Да			1800		Да		Да		новый		нажатие		Китай	Да	скрытый нагревательный элемент	Да	поддержание температуры, снижения уровня шума	черный	отсутствует	Да	отсутствует
	1.28		26.6*21.2*15.7 см		2 года	производителем	100 *С	0.7			Да	включения, температуры	7	2	1.7		пластик		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	белый	отсутствует	Да	отсутствует
	2.1	новый	20.3*24.1*27.2 см		3 года	производителем	50-100 *С	1		Да	Да	включения, уровня воды, температуры	6	2	1.5		алюминий		Да	Да	Да		Да			2400		Да				новый	Да	кнопка на корпусе		Китай	Да	ТЭН	Да	поддержание температуры, снижения уровня шума	карамельное яблоко	отсутствует		отсутствует
	0.9		23.2*21*17 см		1 год	производителем	100-100 *С	0.75					1	1	1.7		пластик		Да	Да			Да			2200						новый		кнопка на корпусе		Китай		диск	Да		черный			отсутствует
	1.08		24.2*21.6*15.8 см		1 год	производителем	10-100 *С	0.85			Да	включения, уровня воды	1	1	1.7		стекло		Да	Да	Да		Да		Да	2200						новый		кнопка на корпусе		Китай		ТЭН	Да		черный	голубой		отсутствует
	1		23*18*18 см		2 года	производителем	10-100 *С	0.7				включения, уровня воды	1	1	1.7		термостойкое стекло		Да	Да			Да		Да	2200						новый		полностью съемная		Китай		диск	Да		белый	синий		отсутствует
	0.9	новый	21.5*18*18 см		6 месяцев	производителем	10-100 *С	0.8				включения	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый	Да	нажатие		Китай		закрытая спираль	Да		черный	отсутствует		отсутствует
	0.9		23.2*21*17 см		1 год	производителем	100-100 *С	0.75					1	1	1.7		пластик		Да	Да			Да			2200						новый		кнопка на корпусе		Китай		диск	Да		черный			отсутствует
	0.983		24.2*21.4*15.7 см		3 года	производителем	100-100 *С	0.7				включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		нержавеющая сталь			отсутствует
	0.908		22.5*15.6*20 см		1 год	производителем	100-100 *С	0.75		Да		включения, уровня воды, температуры	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		черный	отсутствует		отсутствует
	1.5		24.5*22*15 см		1 год	производителем	70-100 *С	0.7			Да	включения, температуры	4	2	1.7		пластик/ стекло		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	черный	отсутствует		отсутствует
	1.5	новый	24.5*24.5*20 см		2 года	производителем	100 *С	0.75				включения, уровня воды	1	1	1.4		керамика		Да	Да	Да					1400						новый	Да	полностью съемная		Китай	Да	диск		снижения уровня шума	белый/ рисунок	отсутствует		отсутствует
	0.908		22.5*15.6*20 см		1 год	производителем	100-100 *С	0.75		Да		включения, уровня воды, температуры	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		диск	Да		зеленое яблоко	отсутствует		отсутствует
	1	новый	20*20*15.2 см		1 год	производителем	100 *С	1				включения, уровня воды	1	1	0.8		пластик		Да	Да	Да		Да			1400						новый				Китай		ТЭН	Да		белый			отсутствует
	1.28		22*15*22 см		1 год	производителем	40-100 *С	0.75			Да	включения, уровня воды, температуры	5	1	1.7		металл/ стекло		Да	Да	Да		Да		Да	2200		Да				новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	стекло	разноцветный		отсутствует
	1.1		20.8*26.1*16 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.5		стекло		Да	Да	Да		Да		Да	2200								полностью съемная		Китай		закрытая спираль	Да		серебристый	синий		отсутствует
	1.1	новый	25.8*22.2*25.8 см		1 год	производителем	100-100 *С	0.8				уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200						новый		нажатие		Китай		закрытая спираль	Да		медный	отсутствует		отсутствует
	1		22*17*17 см		1 год	производителем	100 *С	0.57				включения	1	1	1.7		металл		Да				Да			1500						новый		ручное		Китай		диск			серебристый	отсутствует		отсутствует
	1.18	новый	23*21.4*25 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	2	1.7		стекло/ нержавеющая сталь		Да	Да			Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		нержавеющая сталь/ черный	синий		
	0.85		25*22.5*15 см		1 год	производителем	30-100 *С	1				включения, уровня воды	1	1	1.7		пластик/ металл		Да		Да		Да			2200						новый		полностью съемная		Китай		закрытая спираль	Да		черный			отсутствует
	0.7	новый	23*15*21 см		1 год	производителем	100-100 *С	0.68				включения, уровня воды	1	1	1.7		пластик		Да	Да			Да			1850						новый		нажатие		Россия		диск	Да		белый/ коричневый	отсутствует		отсутствует
	0.72	новый	23*17*20.5 см		1 год	производителем	10-100 *С	1				включения	1	1	1.8		нержавеющая сталь/ пластик		Да	Да	Да		Да			1500						новый		нажатие		Китай		закрытая спираль	Да		черный	отсутствует		отсутствует
	1.5		24.5*22*15 см		1 год	производителем	70-100 *С	0.7			Да	включения, температуры	4	2	1.7		пластик/ стекло		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	черный	отсутствует		отсутствует
	1.47		27*22*16.5 см		2 года	производителем		0.75				включения, уровня воды		2	1.9		пластик/ стекло		Да						Да	2200		Да				новый				Китай		диск	Да	поддержание температуры	черный/ серебристый		Да	
	1.6		24.8*22.6*17.1 см		1 год	производителем						включения, уровня воды			1.7		нержавеющая сталь		Да	Да	Да					2400										Китай		диск	Да		розовый			
	0.81		22.3*21.9*15.8 см		1 год	производителем		0.75				включения, уровня воды			1.7		пластик		Да							2200						новый				Китай		диск			белый/ зеленый			
	0.81		22.3*21.9*15.8 см		1 год	производителем		0.75				включения, уровня воды			1.7		пластик		Да							2200						новый				Китай		диск			белый/ оранжевый			
	0.9		22.5*15.6*20 см		1 год	производителем	20-100 *С	0.75			Да	включения, уровня воды, температуры	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		оранжевый	отсутствует		отсутствует
	1.2		23.9*18*22.2 см		1 год	производителем	40-100 *С					включения, уровня воды, температуры	7		1.7		нержавеющая сталь		Да	Да			Да			2200		Да				новый		кнопка на корпусе		Китай		диск	Да	поддержание температуры	серебристый/ черный	отсутствует	Да	отсутствует
	0.9		22*17.5*17.5 см		1 год	производителем	10-100 *С	0.7				уровня воды	1		1.7		пластик		Да	Да	Да		Да			2200										Китай		ТЭН	Да		черный			
	1		22.3*15.5*21.5 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да			Да			2100						новый		кнопка на корпусе		Китай		диск	Да		нержавеющая сталь			отсутствует
	1	новый			1 год	производителем	100-100 *С					включения, уровня воды, температуры	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		диск	Да		мятный	отсутствует		отсутствует
	1.6		27*19*19 см		1 год	производителем	100 *С	1				включения, уровня воды, температуры	1	2	1.8		металл		Да	Да	Да					2200								полностью съемная		Китай	Да	диск	Да	снижения уровня шума	бежевый	отсутствует		отсутствует
	1.35		23.5*19*21 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.7		термостойкое стекло		Да	Да			Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		черный/ серебристый	синий		отсутствует
	1		22*17.4*21.5 см		1 год	производителем	40-100 *С	0.75				включения, уровня воды, температуры	7	1	1.7		нержавеющая сталь		Да	Да	Да		Да			2200		Да		Да				полностью съемная		Китай		закрытая спираль	Да		черный	отсутствует		отсутствует
	1.03		21.1*24.3*15.2 см		1 год	продавцом	40-100 *С	0.65				включения, уровня воды		1	1.7		стекло/ нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200								кнопка на корпусе		Китай		диск	Да		серебристый	синий		отсутствует
	2.14		24.5*15.5*25 см		1 год	производителем	20-100 *С	0.7							1.2		стекло		Да	Да	Да			от сети		1300									2 года	Китай		спираль			прозрачный/ черный/ серебристый		Да	
	1.28		22*15*22 см		1 год	производителем	40-100 *С	0.75			Да	включения, уровня воды, температуры	5	1	1.7		металл/ стекло		Да	Да	Да		Да		Да	2200		Да				новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	стекло	разноцветный		отсутствует
	0.95				2 года	производителем		0.7				включения, уровня воды			1.7		металл		Да				Да			2200		Да				новый				Китай		диск	Да		бежевый		Да	
	1.3				1 год	производителем									2		пластик/ стекло		Да						Да	2200						новый				Китай		закрытая спираль			черный			
	0.93		23.5*23.3*19.4 см		1 год	производителем	20-100 *С	0.75				включения, уровня воды	1	1	1.7		пищевой термостойкий пластик		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		ТЭН	Да			отсутствует		отсутствует
	1		23*18*18 см		2 года	производителем	10-100 *С	0.7				включения, уровня воды	1	1	1.7		термостойкое стекло		Да	Да			Да		Да	2200						новый		полностью съемная		Китай		диск	Да		белый	синий		отсутствует
	0.94	новый	24*21*21 см		1 год	производителем	40-100 *С	0.65			Да	включения, уровня воды, температуры	5	2	1.5		полипропилен/ нержавеющая сталь		Да	Да	Да		Да			1500		Да				новый	Да	кнопка на корпусе		Китай		диск	Да	поддержание температуры	бежевый			отсутствует
	1.3	новый	22*25*18 см		1 год	производителем	100-100 *С					включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да	Да					2200						новый		полностью съемная		Китай		диск	Да		серый	отсутствует		отсутствует
	1.2		23.9*18*22.2 см		1 год	производителем	40-100 *С					включения, уровня воды, температуры	7		1.7		нержавеющая сталь		Да	Да			Да			2200		Да				новый		кнопка на корпусе		Китай		диск	Да	поддержание температуры	серебристый/ черный	отсутствует	Да	отсутствует
	0.9		22.5*15.6*20 см		1 год	производителем	20-100 *С	0.75			Да	включения, уровня воды, температуры	1	1	1.7		пластик		Да	Да	Да		Да			2200						новый		кнопка на корпусе		Китай		ТЭН	Да		сливовый	отсутствует		отсутствует
	1.86	новый	26.3*16*24.1 см		2 года	производителем	40-100 *С	1			Да	включения, уровня воды, температуры	9	1	1.5		нержавеющая сталь		Да	Да	Да					2400		Да		Да		новый	Да	нажатие		Китай		скрытый нагревательный элемент	Да	поддержание температуры	нержавеющая сталь		Да	отсутствует
	0.93		23.5*23.3*19.4 см		1 год	производителем	20-100 *С	0.75				включения, уровня воды	1	1	1.7		пищевой термостойкий пластик		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		ТЭН	Да		черный	отсутствует		отсутствует
	0.93		19.1*18*22.9 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.8		нержавеющая сталь		Да	Да	Да		Да			1800								нажатие		Китай		диск	Да		стальной			отсутствует
	0.98		25*21.5*15.5 см		2 года	производителем		0.78				включения, уровня воды		2	1.7		металл/ пластик		Да	Да			Да			2000						новый				Китай		диск			салатовый			
	1		26*22.5*15.3 см		1 год	производителем		0.8				включения			1.8		пластик		Да	Да						2200						новый				Китай		диск			черный			
	1.2				2 года	производителем						включения, уровня воды			1.7		пластик/ стекло		Да	Да					Да	2200		Да				новый	Да			Китай				поддержание температуры	прозрачный/ черный		Да	
	0.96		25.5*22.5*13.3 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	2	1.7		пластик		Да	Да	Да		Да		Да	2200								полностью съемная		Китай		диск	Да		светло-серый			отсутствует
	1		22*23*18 см		1 год	производителем	100 *С	0.7				включения, уровня воды	1	1	1.7		нержавеющая сталь/ пластик		Да	Да	Да		Да		Да	2200								полностью съемная		Китай		диск	Да		серый	синий		отсутствует
	1.4	новый	25.5*20*22 см		2 года	производителем	20-100 *С	0.75				включения, уровня воды	1	1	1.7		высокопрочного термостойкого стекла		Да	Да	Да		Да		Да	2200						новый		полностью съемная		Китай		ТЭН	Да		черный	синий		отсутствует
	1		22.3*21.5*15.5 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да			Да			2100						новый		кнопка на корпусе		Китай		диск	Да		бежевый	отсутствует		отсутствует
	0.93		23.5*23.3*19.4 см		1 год	производителем	20-100 *С	0.75				включения, уровня воды	1	1	1.7		пищевой термостойкий пластик		Да	Да	Да		Да			2200						новый		полностью съемная		Китай		диск	Да		темно-серый	отсутствует		отсутствует
	1.38	новый	24*13.7*20 см		1 год	производителем	50-100 *С	0.85			Да	включения, температуры	11	2	1		нержавеющая сталь		Да	Да	Да					1800		Да				новый	Да	полностью съемная		Китай		закрытая спираль	Да	поддержание температуры	серый/ графитовый	отсутствует	Да	
	0.76		21.5*17.3*16.2 см		1 год	производителем		0.75				включения, уровня воды			1		пластик/ стекло		Да				Да		Да	1500						новый				Китай		диск			прозрачный/ серебристый			
	1.3		23*18*21 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.7		термостойкое стекло		Да	Да			Да		Да	2200						новый		кнопка на корпусе		Китай		диск	Да		черный/ прозрачный	синий		отсутствует
	1.08		22*15*15 см		1 год	производителем	20-100 *С	1	Да		Да	включения, уровня воды, температуры	5	1	1.8		металл/ пластик/ стекло		Да	Да	Да		Да		Да	1500		Да				новый		кнопка на корпусе		Китай		ТЭН	Да	заваривание чая, поддержание температуры	серебристый хром/ черный	синий	Да	отсутствует
	0.9		23.4*20.5*14.2 см		1 год	производителем	100-100 *С	0.6				включения, уровня воды	1	1	1.5		пластик/ стекло		Да	Да			Да			1500										Китай		ТЭН			розовый			отсутствует
	1.34		25.5*23*14.7 см		2 года	производителем						включения, уровня воды	1		1.5				Да	Да	Да		Да			2015						новый		кнопка на корпусе		Китай		закрытая спираль	Да		белый			
	0.76		23.5*22.2*15.5 см		1 год	производителем	100 *С	0.6				включения, уровня воды	1	1	1.7		пластик		Да	Да	Да		Да			2200								кнопка на корпусе		Китай		диск	Да		серый/ серебристый			отсутствует
	1.12	новый	23.9*15.1*20.9 см		2 года	производителем		0.75				уровня воды	1		1.7		пластик/ стекло		Да	Да	Да		Да		Да	2200						новый		нажатие		Китай		ТЭН	Да		серебристый/ белый	синий		
	1		23.62*21.61*15.55 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1		1.7		стекло/ пластик		Да	Да	Да		Да			2200										Китай		диск	Да		черный			
	1.1				1 год	производителем							1		1.5		нержавеющая сталь		Да	Да	Да					2150						новый		кнопка на корпусе		Китай		закрытая спираль	Да		черный			
					1 год	производителем						уровня воды	1		1.7		пластик		Да							2000						новый		кнопка на корпусе		Китай		закрытая спираль			красный			
	1.6		24.6*17.1*22.3 см		1 год	производителем						включения, уровня воды			1.7		нержавеющая сталь/ пластик		Да	Да	Да					2400										Китай		ТЭН	Да		красный			
	1.1		21*16.5*19 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.7		нержавеющая сталь		Да	Да			Да			2200						новый		кнопка на корпусе		Китай		диск	Да		стальной/ черный			отсутствует
	0.8	новый	23*16*20 см		1 год	производителем	100-100 *С	0.7				включения	1		1.8		пластик/ нержавеющая сталь		Да	Да	Да		Да			1500						новый		нажатие		Китай		диск			белый	отсутствует		отсутствует
	1.6		27.5*22.6*17.1 см		1 год	производителем	50 *С	1			Да	включения, уровня воды, температуры	8		1.7		нержавеющая сталь		Да	Да	Да					2400		Да								Китай		ТЭН	Да	поддержание температуры	бежевый			
	1.1	новый	27*21*14 см		1 год	производителем	40-100 *С	0.75				включения, уровня воды	1	2	1.7		нержавеющая сталь		Да	Да	Да		Да			3000						новый	Да	нажатие		Китай		закрытая спираль	Да		белый			отсутствует
	0.83		23*16.5*21.6 см		1 год	продавцом	80-100 *С	0.75	Да			включения, уровня воды	1	1	1.8		термостойкое стекло		Да	Да	Да		Да		Да	1500						новый		кнопка на корпусе		Китай		ТЭН		заваривание чая	черный	голубой		отсутствует
	1		26*17*23 см		1 год	производителем	100-100 *С	0.75				включения, уровня воды	1	1	1.7		термостойкое стекло		Да	Да	Да		Да		Да	2200								кнопка на корпусе		Китай		закрытая спираль	Да		серебристый	голубой		отсутствует
	1.37		24.5*23*14.7 см		2 года	производителем	70-100 *С					включения, уровня воды	4	2	1.25		нержавеющая сталь		Да	Да	Да		Да			2015		Да				новый		кнопка на корпусе		Китай		диск	Да			отсутствует		
	1.08		26.6*21.2*15.7 см		2 года	производителем	100 *С	0.7			Да	включения, температуры	7	2	1.7		пластик		Да	Да	Да		Да			2200		Да		Да		новый	Да	кнопка на корпусе		Китай		закрытая спираль	Да	поддержание температуры	серый	отсутствует	Да	отсутствует
